variant_index,variant_slug,backtest_experiment,backtest_recorder_id,ranking_metric,ranking_value,strategy_params.topk,strategy_params.n_drop,strategy_params.strategy,strategy_params.deal_price,strategy_params.rebalance,strategy_params.limit_tplus,strategy_params.risk_degree,strategy_params.settlement_lag,summary_metrics.Strategy cumulative return,summary_metrics.Benchmark cumulative return,summary_metrics.Trading days,summary_metrics.risk.excess_return_without_cost.mean,summary_metrics.risk.excess_return_without_cost.std,summary_metrics.risk.excess_return_without_cost.annualized_return,summary_metrics.risk.excess_return_without_cost.information_ratio,summary_metrics.risk.excess_return_without_cost.max_drawdown,summary_metrics.risk.excess_return_with_cost.mean,summary_metrics.risk.excess_return_with_cost.std,summary_metrics.risk.excess_return_with_cost.annualized_return,summary_metrics.risk.excess_return_with_cost.information_ratio,summary_metrics.risk.excess_return_with_cost.max_drawdown,summary_metrics.indicator_summary.ffr,summary_metrics.indicator_summary.pa,summary_metrics.indicator_summary.pos,summary_metrics.indicator_daily_mean.ffr,summary_metrics.indicator_daily_mean.pa,summary_metrics.indicator_daily_mean.pos,summary_metrics.indicator_daily_mean.deal_amount,summary_metrics.indicator_daily_mean.value,summary_metrics.indicator_daily_mean.count
53,equal_topk15_ndrop1_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,6d9e483ddf1f4cbd8f1442f659d2c476,risk.excess_return_with_cost.annualized_return,-0.2347078980927011,15,1,equal,open,day,True,0.95,2,0.37465156146349,0.5931557416915894,188,-0.0007603783988716432,0.01245375116575374,-0.18097005893145107,-0.9419287770370471,-0.25114121611465184,-0.0009861676390449626,0.01244327717200926,-0.2347078980927011,-1.2226564705399423,-0.2827632329234011,0.852138382089511,0.0,0.0,0.8429821962848908,0.0,0.0,3118.3439153439153,109570.41225690172,1.8941798941798942
75,bucket_topk20_ndrop1_risk0p98_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,a7f1f1a7e4fa42938f7b5f76649c9f37,risk.excess_return_with_cost.annualized_return,-0.3473797896462393,20,1,bucket,open,day,True,0.98,2,0.2502183848223831,0.5931557416915894,188,-0.0012599359712799623,0.0112649772990829,-0.299864761164631,-1.725466901427476,-0.35364756918256346,-0.0014595789480934423,0.011258507515682583,-0.3473797896462393,-2.000024184571574,-0.3821580921688308,0.9445983379501385,0.0,0.0,0.8956043956043956,0.0,0.0,2549.100529100529,92858.2100495754,1.91005291005291
52,equal_topk15_ndrop1_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,033f332d21b34204ad94567e756d5121,risk.excess_return_with_cost.annualized_return,-0.36013278519185254,15,1,equal,open,day,True,0.9,2,0.2474311673364331,0.5931557416915894,188,-0.001279082260104153,0.012214567828889107,-0.3044215779047884,-1.6155070166363446,-0.32618880585519705,-0.001513162962990977,0.012202497716857082,-0.36013278519185254,-1.9130461463810546,-0.36239031059376753,0.8612766310640436,0.0,0.0,0.8536683505257806,0.0,0.0,3157.0793650793653,110042.41411321334,1.8994708994708995
74,bucket_topk20_ndrop1_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,1f5cf659cd3a4cf58806ed886144bb57,risk.excess_return_with_cost.annualized_return,-0.37233379099416036,20,1,bucket,open,day,True,0.95,2,0.22695944876148322,0.5931557416915894,188,-0.0013641566618390357,0.011129562418037408,-0.3246692855176905,-1.890926452368996,-0.36555177073855566,-0.0015644276932527746,0.011123761193139623,-0.37233379099416036,-2.1696631700036417,-0.39421824770876024,0.9445983379501385,0.0,0.0,0.8956043956043956,0.0,0.0,2551.2804232804233,92376.77291459133,1.91005291005291
54,equal_topk15_ndrop1_risk0p98_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,89dc6a42cd024527a42fae86c40eac39,risk.excess_return_with_cost.annualized_return,-0.38208933467482387,15,1,equal,open,day,True,0.98,2,0.22685403339054666,0.5931557416915894,188,-0.0013638814883442437,0.012184492408879236,-0.32460379422593,-1.7268621542500713,-0.3692288919227096,-0.0016054173725832935,0.01218505080559154,-0.38208933467482387,-2.0325867607555397,-0.40452106454548376,0.8363189158687325,0.0,0.0,0.8395968153054775,0.0,0.0,3328.4391534391534,117267.20512533895,1.947089947089947
73,bucket_topk20_ndrop1_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,1fdf6198e3d44ecb8e4620f0d4f3293a,risk.excess_return_with_cost.annualized_return,-0.4095999930402126,20,1,bucket,open,day,True,0.9,2,0.1929012062906632,0.5931557416915894,188,-0.001519707442254704,0.010963994319797735,-0.3616903712566195,-2.1383543130641702,-0.3818348600110405,-0.0017210083741185404,0.010959178328178353,-0.4095999930402126,-2.4226655749632178,-0.4107858723063962,0.9445983379501385,0.0,0.0,0.8956043956043956,0.0,0.0,2554.068783068783,91693.83792951169,1.91005291005291
6,equal_topk8_ndrop1_risk0p98_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,f742361494084460883f7322613bbd20,risk.excess_return_with_cost.annualized_return,-0.41322206605042217,8,1,equal,open,day,True,0.98,2,0.22392388248819306,0.5931557416915894,188,-0.0013464291397761172,0.013745856669474641,-0.3204501352667159,-1.5111242310125064,-0.3775075264396371,-0.0017362271682790848,0.013715564227309632,-0.41322206605042217,-1.9529060374670593,-0.43077398831063995,0.8246748295873914,0.0,0.0,0.8290911187931874,0.0,0.0,5087.396825396825,183562.35324921613,1.873015873015873
84,equal_topk20_ndrop2_risk0p98_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,b1f7a410103f446eb1189eca7841d17e,risk.excess_return_with_cost.annualized_return,-0.4344512496646714,20,2,equal,open,day,True,0.98,2,0.20073006494694812,0.5931557416915894,188,-0.0014831622641008485,0.011546015715822448,-0.35299261885600197,-1.9817323617127236,-0.3128256907568981,-0.0018254254187591236,0.011523034796715166,-0.4344512496646714,-2.443912759985846,-0.3617736424630406,0.8501333940161107,0.0,0.0,0.8476476212628693,0.0,0.0,3832.5661375661375,150521.74607423384,3.7037037037037037
29,equal_topk10_ndrop1_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,0616c19933604c08b83b587d1843425b,risk.excess_return_with_cost.annualized_return,-0.45527100634031653,10,1,equal,open,day,True,0.95,2,0.1707758640628021,0.5931557416915894,188,-0.0015978976060975598,0.013065963302089815,-0.3802996302512192,-1.8866702032977831,-0.42641633910858356,-0.0019129033879845233,0.0130408751582738,-0.45527100634031653,-2.262949057892808,-0.4704372676967858,0.8410875298583907,0.0,0.0,0.8372076613418364,0.0,0.0,3909.6984126984125,146775.86957168416,1.8835978835978835
78,equal_topk20_ndrop1_risk0p98_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,ea67baa2596c4521b72a8249360a62a1,risk.excess_return_with_cost.annualized_return,-0.4587202272133395,20,1,equal,open,day,True,0.98,2,0.14670535767496728,0.5931557416915894,188,-0.0017348919161759649,0.010667960330248359,-0.4129042760498796,-2.508877807196643,-0.3764756886445062,-0.0019273959126610903,0.01066205103311794,-0.4587202272133395,-2.788808254854396,-0.4037609428835698,0.8447402243119287,0.0,0.0,0.8395807349006361,0.0,0.0,2534.931216931217,87355.55783403125,1.9523809523809523
76,equal_topk20_ndrop1_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,b389a48e19fd4f6788135a384ccc17b3,risk.excess_return_with_cost.annualized_return,-0.46599978817991805,20,1,equal,open,day,True,0.9,2,0.14005125119891715,0.5931557416915894,188,-0.0017706379823754987,0.010778959408826465,-0.42141183980536867,-2.5342031020835614,-0.38017810490754944,-0.0019579823032769665,0.0107679754506641,-0.46599978817991805,-2.805195825870066,-0.4064649401116816,0.8773693003502724,0.0,0.0,0.8740300782535806,0.0,0.0,2482.746031746032,84190.19089699177,1.9417989417989419
28,equal_topk10_ndrop1_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,45625df2b5f449b79291cec18faaabf2,risk.excess_return_with_cost.annualized_return,-0.46627507949541647,10,1,equal,open,day,True,0.9,2,0.16098773007745626,0.5931557416915894,188,-0.0016431181259144616,0.01288392709965081,-0.39106211396764184,-1.96747401978762,-0.4236720009831102,-0.00195913898947654,0.012858662273765734,-0.46627507949541647,-2.3504874480228284,-0.4679431347648562,0.8562896701700989,0.0,0.0,0.8500320575283787,0.0,0.0,3959.05291005291,145378.62403473072,1.8835978835978835
77,equal_topk20_ndrop1_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,096a2ce168374759b3531e819f7725dd,risk.excess_return_with_cost.annualized_return,-0.47297583866988774,20,1,equal,open,day,True,0.95,2,0.13425773842563116,0.5931557416915894,188,-0.0017950668077259461,0.010584583691038079,-0.42722590023877516,-2.6163468249315702,-0.3830215013762393,-0.0019872934397894442,0.010580944073011427,-0.47297583866988774,-2.8975174394695804,-0.4102666634679256,0.8514617051435868,0.0,0.0,0.8451647490233632,0.0,0.0,2525.121693121693,86606.73504946548,1.9523809523809523
51,bucket_topk15_ndrop1_risk0p98_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,922180282d8e4f72bf7ff7746bd1dffd,risk.excess_return_with_cost.annualized_return,-0.4820373482892681,15,1,bucket,open,day,True,0.98,2,0.13703170474478554,0.5931557416915894,188,-0.0017720941922962073,0.012589882066176242,-0.4217584177664973,-2.171468925592125,-0.47818778852118193,-0.0020253670096187734,0.012581128515477626,-0.4820373482892681,-2.4835483054474863,-0.5155741831881091,0.9375,0.0,0.0,0.8839779005524862,0.0,0.0,3226.074074074074,119173.20697585489,1.8624338624338623
49,bucket_topk15_ndrop1_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,82055a96a50b4267be45d6b85747f6b6,risk.excess_return_with_cost.annualized_return,-0.48223727229645824,15,1,bucket,open,day,True,0.9,2,0.13902881607451256,0.5931557416915894,188,-0.0017688093712480552,0.012249115608021282,-0.42097663035703714,-2.2277413983029204,-0.46403219361943626,-0.002026207026455707,0.012239004484387696,-0.48223727229645824,-2.5540312199161814,-0.5018496446718894,0.9375,0.0,0.0,0.8839779005524862,0.0,0.0,3284.7248677248676,120109.19927455124,1.8624338624338623
59,equal_topk15_ndrop2_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,10aeff645b72437e9502c49d73813d9e,risk.excess_return_with_cost.annualized_return,-0.4851345577319067,15,2,equal,open,day,True,0.95,2,0.1689587801297221,0.5931557416915894,188,-0.0016194383820321407,0.01170193736215463,-0.38542633492364947,-2.134986521638432,-0.4138056632491353,-0.002038380494671877,0.011689556316049416,-0.4851345577319067,-2.6901451025468077,-0.4706155087838054,0.8651981476282365,0.0,0.0,0.8596574072331535,0.0,0.0,5357.857142857143,185308.73320848192,3.634920634920635
50,bucket_topk15_ndrop1_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,098d0716412b410dbd171256d4d36e3a,risk.excess_return_with_cost.annualized_return,-0.4855634856875862,15,1,bucket,open,day,True,0.95,2,0.1348131893976372,0.5931557416915894,188,-0.0017849173349923147,0.012452778876094013,-0.4248103257281709,-2.2112625437285516,-0.4747046478221472,-0.0020401827129730515,0.01244314183950111,-0.4855634856875862,-2.529458102329891,-0.5123311886232069,0.9375,0.0,0.0,0.8839779005524862,0.0,0.0,3251.978835978836,119580.67585343678,1.8624338624338623
27,bucket_topk10_ndrop1_risk0p98_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,7158d995f8054ad6a5b063cabd5f6325,risk.excess_return_with_cost.annualized_return,-0.4882887509077015,10,1,bucket,open,day,True,0.98,2,0.1420172531581365,0.5931557416915894,188,-0.0017129344299700656,0.014800400144683154,-0.4076783943328756,-1.7854831669079496,-0.5039557858196728,-0.0020516334071752165,0.0147727323727053,-0.4882887509077015,-2.1425324613055685,-0.5534895253657175,0.9246376811594202,0.0,0.0,0.8626373626373627,0.0,0.0,4748.820105820106,160528.5868135533,1.8253968253968254
26,bucket_topk10_ndrop1_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,5859760c351a47f08a2f35ce6363650e,risk.excess_return_with_cost.annualized_return,-0.5021779588508106,10,1,bucket,open,day,True,0.95,2,0.13022848793273467,0.5931557416915894,188,-0.0017718209529283752,0.014553854067786835,-0.4216933867969533,-1.8781500916937173,-0.5024355294143328,-0.0021099914237429017,0.014526890544688063,-0.5021779588508106,-2.2407659905715276,-0.5519678160591517,0.9246376811594202,0.0,0.0,0.8626373626373627,0.0,0.0,4689.677248677249,158513.07151337925,1.8253968253968254
58,equal_topk15_ndrop2_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,6bc8157603df44399ed5298aac845822,risk.excess_return_with_cost.annualized_return,-0.5042479619237106,15,2,equal,open,day,True,0.9,2,0.1457008074194719,0.5931557416915894,188,-0.0017210113362625637,0.011722856737508853,-0.40960069803049015,-2.2648463900732616,-0.4163448190728262,-0.0021186889156458426,0.011705819465454013,-0.5042479619237106,-2.7922471167195813,-0.47128413611247544,0.862251257292782,0.0,0.0,0.8580388031256461,0.0,0.0,4863.179894179894,175802.80588481494,3.5978835978835977
25,bucket_topk10_ndrop1_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,19c621e66ead4c83984d082917d0dc05,risk.excess_return_with_cost.annualized_return,-0.5202811570060516,10,1,bucket,open,day,True,0.9,2,0.11514794405033157,0.5931557416915894,188,-0.0018488173048432663,0.014185096546429216,-0.44001851855269736,-2.01071343592345,-0.49745331539204574,-0.002186055281538032,0.014159456648689714,-0.5202811570060516,-2.3817876040925565,-0.5469433799747178,0.9246376811594202,0.0,0.0,0.8626373626373627,0.0,0.0,4597.0,155384.26618846788,1.8253968253968254
30,equal_topk10_ndrop1_risk0p98_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,1cf3d2d4c58247979eccba16fde0ed97,risk.excess_return_with_cost.annualized_return,-0.5209113142284213,10,1,equal,open,day,True,0.98,2,0.11929900158675344,0.5931557416915894,188,-0.0018469927460449407,0.012611936788951816,-0.4395842735586959,-2.2592894945789004,-0.4625948899571696,-0.0021887030009597533,0.012583473307470259,-0.5209113142284213,-2.6833342851600617,-0.5114140197629863,0.8295483574203726,0.0,0.0,0.822494970144612,0.0,0.0,4458.084656084656,156550.30793814163,1.8677248677248677
5,equal_topk8_ndrop1_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,fcdaf06908964680b8217101e9ed7f1a,risk.excess_return_with_cost.annualized_return,-0.525134689978078,8,1,equal,open,day,True,0.95,2,0.12179842174382172,0.5931557416915894,188,-0.0018184368794074742,0.014485955836392233,-0.4327879772989789,-1.936598327112363,-0.4941991488807947,-0.002206448277218815,0.014443516534116576,-0.525134689978078,-2.356727051934804,-0.5536642849543486,0.8410667618898292,0.0,0.0,0.8358364640288571,0.0,0.0,5061.476190476191,178033.65748208962,1.8412698412698412
82,equal_topk20_ndrop2_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,dd6afc9c615a495c895d285cb2de6b51,risk.excess_return_with_cost.annualized_return,-0.5394900409390939,20,2,equal,open,day,True,0.9,2,0.10366407458637816,0.5931557416915894,188,-0.0019278153978870085,0.011631176611594008,-0.458820064697108,-2.556997321153665,-0.4063316052483934,-0.0022667648778953524,0.011594050454018415,-0.5394900409390939,-3.016197443188001,-0.4564329361718446,0.8563622972131579,0.0,0.0,0.8525977848267813,0.0,0.0,3643.2380952380954,140991.2173789414,3.687830687830688
83,equal_topk20_ndrop2_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,f966bb913fff4f608dcf716ec1fa07cc,risk.excess_return_with_cost.annualized_return,-0.5613462378501004,20,2,equal,open,day,True,0.95,2,0.08420461977723726,0.5931557416915894,188,-0.0020235615190241493,0.010731557833161242,-0.48160764152774754,-2.9089892761403657,-0.39838453017836983,-0.002358597638025632,0.010723169136090945,-0.5613462378501004,-3.3932759705502415,-0.4552849551849303,0.8534371242271871,0.0,0.0,0.8508300849014977,0.0,0.0,3652.904761904762,139776.73229519988,3.7195767195767195
81,bucket_topk20_ndrop2_risk0p98_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,2988f46609ca4d9cab057a3662450679,risk.excess_return_with_cost.annualized_return,-0.5729143546884332,20,2,bucket,open,day,True,0.98,2,0.07385132780453807,0.5931557416915894,188,-0.00206495548566755,0.011698369440908471,-0.49145940558887685,-2.7231642690599127,-0.43134686126210137,-0.0024072031709598033,0.0116865606113192,-0.5729143546884332,-3.1777118207544848,-0.48086831380560635,0.9073529411764706,0.0,0.0,0.8712121212121212,0.0,0.0,3564.5555555555557,146597.96948711417,3.5978835978835977
88,equal_topk20_ndrop3_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,85851269b8b1487dad1340982230f449,risk.excess_return_with_cost.annualized_return,-0.5757746266057134,20,3,equal,open,day,True,0.9,2,0.09580594545626564,0.5931557416915894,188,-0.0019624348406189138,0.011186072474544048,-0.46705949206730146,-2.7064879345933943,-0.38574613933369084,-0.0024192211201920734,0.011144921760556595,-0.5757746266057134,-3.3487831041897005,-0.457344149858629,0.8495867563458194,0.0,0.0,0.8459359720147073,0.0,0.0,5451.380952380952,195700.35236830523,5.37037037037037
80,bucket_topk20_ndrop2_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,ddfd906452374a7594e3626ee03845ed,risk.excess_return_with_cost.annualized_return,-0.5831560687594187,20,2,bucket,open,day,True,0.95,2,0.06553224357193854,0.5931557416915894,188,-0.002108076976976789,0.011624288551323164,-0.5017223205204757,-2.7977477926043575,-0.4359604092107388,-0.002450235583022768,0.011612242973659094,-0.5831560687594187,-3.255218961912452,-0.48543877226553883,0.9073529411764706,0.0,0.0,0.8712121212121212,0.0,0.0,3551.5873015873017,145725.1514428564,3.5978835978835977
4,equal_topk8_ndrop1_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,18c1eb6091c944b1acad6546dbbd90e5,risk.excess_return_with_cost.annualized_return,-0.5891056835574416,8,1,equal,open,day,True,0.9,2,0.06400531320293545,0.5931557416915894,188,-0.002100738435658875,0.01364405348101922,-0.4999757476868122,-2.3752922237311522,-0.5500417491076524,-0.0024752339645270657,0.01361818672181902,-0.5891056835574416,-2.804048038465069,-0.6068685830909544,0.8264947894810247,0.0,0.0,0.8234238685180774,0.0,0.0,4552.142857142857,166621.7713348925,1.8518518518518519
79,bucket_topk20_ndrop2_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,138a248e9a6d4d889d245e6d011f0786,risk.excess_return_with_cost.annualized_return,-0.5978895703479354,20,2,bucket,open,day,True,0.9,2,0.053697171291190005,0.5931557416915894,188,-0.00217047897033073,0.011515770543726095,-0.5165739949387137,-2.907709785793866,-0.44149079041164474,-0.002512141051882082,0.011503590705148243,-0.5978895703479354,-3.3689850039526523,-0.49089754223881393,0.9073529411764706,0.0,0.0,0.8712121212121212,0.0,0.0,3528.835978835979,144223.65497602482,3.5978835978835977
